Youtuber,Subscribers,Video Views,Uploads,Category,Country,Abbreviation,Lowest Monthly Earnings,Highest Monthly Earnings,Gross Tertiary Education Enrollment (%),Unemployment Rate,Population,Urban Population,Created Year
WatchMojo.com,25100000,16357064198,24837,Music,Canada,CA,12300.0,196000.0,68.9,5.56,36991981,30628482,2007
RihannaVEVO,25100000,19458807708,118,Music,United States,US,23600.0,377000.0,88.2,14.7,328239523,270663028,2009
TRANS7 OFFICIAL,25000000,14169516119,89179,Entertainment,Indonesia,ID,30800.0,492800.0,36.3,4.69,270203917,151509724,2014
Anuel AA,25000000,14827085149,147,Music,Colombia,CO,71000.0,1100000.0,55.3,9.71,50339443,40827302,2016
Dan Rhodes,24800000,17387583720,1644,Entertainment,United Kingdom,GB,83000.0,1300000.0,60.0,3.85,66834405,55908316,2015
Yuya,24800000,2588501115,672,Howto & Style,Mexico,MX,84.0,1300.0,40.2,3.42,126014024,102626859,2009
America's Got Talent,24800000,3699352704,1894,Entertainment,United States,US,33600.0,537600.0,88.2,14.7,328239523,270663028,2006
mujjuu14,24800000,14655527943,872,People & Blogs,Other,Other,100100.0,1600000.0,63.2,9.3,436369043,226156206,2020
EminemVEVO,24700000,20531704527,104,Music,United States,US,34900.0,557800.0,88.2,14.7,328239523,270663028,2009
Chloe Ting,24700000,2994726412,412,Howto & Style,Australia,AU,5800.0,93100.0,113.1,5.27,25766605,21844756,2011
KatyPerryVEVO,24600000,23755792542,175,Music,United States,US,22200.0,355800.0,88.2,14.7,328239523,270663028,2009
Mark Rober,24600000,3647987299,120,Science & Technology,United States,US,22200.0,354500.0,88.2,14.7,328239523,270663028,2011
1theK,24500000,23962070944,18950,Music,South Korea,KR,26400.0,422300.0,94.3,4.15,51709098,42106719,2011
Like Nastya AE,24400000,12385924995,658,Entertainment,United States,US,42500.0,679500.0,88.2,14.7,328239523,270663028,2018
Pen Movies,24300000,6608773195,1667,Film & Animation,India,IN,23700.0,379400.0,28.1,5.36,1366417754,471031528,2014
Amit Bhadana,24300000,2380248899,17,Entertainment,Other,Other,0.0,0.02,63.2,9.3,436369043,226156206,2009
MrBeast en Espa,24200000,2700914170,67,Entertainment,Mexico,MX,8400.0,134400.0,40.2,3.42,126014024,102626859,2021
shfa show India,24200000,15724160183,469,Other,United Arab Emirates,AE,37800.0,604800.0,36.8,2.35,9770529,8479744,2019
Super JoJo - Nursery Rhymes & Kids Songs,24100000,329774870,36,Other,United States,US,82100.0,1300000.0,88.2,14.7,328239523,270663028,2019
Alejo Igoa,24100000,10999000479,802,Comedy,Argentina,AR,100400.0,1600000.0,90.0,9.79,44938712,41339571,2014
Daniel LaBelle,24100000,12916159065,287,Comedy,Other,Other,99700.0,1600000.0,63.2,9.3,436369043,226156206,2009
netd m,24100000,56106087508,23491,Music,Turkey,TR,106200.0,1700000.0,23.9,13.49,83429615,63097818,2014
DJ Snake,24100000,8425505919,252,Music,United States,US,15800.0,253200.0,88.2,14.7,328239523,270663028,2008
Diana and Roma ARA,24100000,11041261296,590,Other,United States,US,16700.0,267500.0,88.2,14.7,328239523,270663028,2019
KSI,24100000,6002166932,1252,Entertainment,United Kingdom,GB,1400.0,21800.0,60.0,3.85,66834405,55908316,2009
Spider Slack,24000000,13943030228,901,Comedy,Brazil,BR,190400.0,3000000.0,51.3,12.08,212559417,183241641,2020
Goldmines Movies,24000000,5652938599,3,Film & Animation,Other,Other,0.0,0.01,63.2,9.3,436369043,226156206,2018
Preston,24000000,8279004442,4009,Gaming,United States,US,37900.0,606800.0,88.2,14.7,328239523,270663028,2012
James Charles,23900000,4067878931,505,Entertainment,United States,US,14500.0,232500.0,88.2,14.7,328239523,270663028,2015
Collins Key,23900000,6582932625,257,Entertainment,United States,US,2700.0,43400.0,88.2,14.7,328239523,270663028,2011
Diana and Roma EN,23900000,7213499085,511,People & Blogs,United States,US,44400.0,711100.0,88.2,14.7,328239523,270663028,2011
Enrique Iglesias,23800000,17688774915,443,Music,United States,US,30700.0,491700.0,88.2,14.7,328239523,270663028,2007
Troom Troom,23800000,10414479943,2425,Howto & Style,United States,US,24500.0,392200.0,88.2,14.7,328239523,270663028,2015
Venus Entertainment,23800000,5663125358,70,Entertainment,Other,Other,8.0,127.0,63.2,9.3,436369043,226156206,2016
Ninja,23700000,2543809954,1732,Gaming,United States,US,2100.0,33500.0,88.2,14.7,328239523,270663028,2011
FaZe Rug,23700000,7451792132,0,Gaming,Canada,CA,0.0,0.0,68.9,5.56,36991981,30628482,2012
Mister Max,23700000,15510153803,1099,People & Blogs,United Kingdom,GB,8200.0,131300.0,60.0,3.85,66834405,55908316,2014
That Little Puff,23700000,20289689389,769,Pets & Animals,United States,US,188800.0,3000000.0,88.2,14.7,328239523,270663028,2020
NickyJamTV,23600000,15901824841,392,Music,Other,Other,19500.0,311700.0,63.2,9.3,436369043,226156206,2012
Juan De Dios Pantoja,23600000,2135644776,226,Entertainment,Mexico,MX,11700.0,187400.0,40.2,3.42,126014024,102626859,2014
Logan Paul,23600000,5994002464,719,Entertainment,United States,US,2700.0,43200.0,88.2,14.7,328239523,270663028,2015
Maya and Mary,23600000,6766461070,552,Entertainment,United States,US,11100.0,178200.0,88.2,14.7,328239523,270663028,2013
Peppa Pig Espa,23600000,7920637200,1251,Film & Animation,United Kingdom,GB,13400.0,214400.0,60.0,3.85,66834405,55908316,2014
Jelly,23500000,14777034543,6066,Gaming,United Kingdom,GB,10400.0,166700.0,60.0,3.85,66834405,55908316,2014
Miss Katy,23500000,14696994366,1044,People & Blogs,United Kingdom,GB,14900.0,238500.0,60.0,3.85,66834405,55908316,2014
Tilak,23400000,9465863821,6672,Film & Animation,India,IN,91800.0,1500000.0,28.1,5.36,1366417754,471031528,2020
Valentina Pontes ofc,23400000,7926899136,1291,Film & Animation,Brazil,BR,7100.0,113100.0,51.3,12.08,212559417,183241641,2014
Sesame Street,23300000,22471357411,3657,Entertainment,United States,US,31000.0,496700.0,88.2,14.7,328239523,270663028,2006
Happy Lives,23200000,2634,1,Science & Technology,United States,US,0.0,0.0,88.2,14.7,328239523,270663028,2016
Akshay Nagwadiya,23200000,7966720147,595,Entertainment,Other,Other,80300.0,1300000.0,63.2,9.3,436369043,226156206,2017
Lady Gaga,23200000,15751661213,172,People & Blogs,United States,US,35800.0,572700.0,88.2,14.7,328239523,270663028,2008
Wave Music Bhojpuri,23100000,12889240875,22578,Music,India,IN,13200.0,210700.0,28.1,5.36,1366417754,471031528,2014
GMM GRAMMY OFFICIAL,23100000,25579831081,15462,Music,Thailand,TH,32600.0,520900.0,49.3,0.75,69625582,35294600,2010
TED,23100000,2551113422,4445,People & Blogs,United States,US,3300.0,53000.0,88.2,14.7,328239523,270663028,2006
unknown boy varun,23100000,9299371231,456,Music,India,IN,76000.0,1200000.0,28.1,5.36,1366417754,471031528,2016
Kids TV - Nursery Rhymes And Baby Songs,23100000,13151870846,3781,Shows,United States,US,32100.0,513800.0,88.2,14.7,328239523,270663028,2013
Tsuriki Show,23000000,31494513067,2905,Entertainment,Germany,DE,189200.0,3000000.0,70.2,3.04,83132799,64324835,2019
Technical Guruji,23000000,3378047383,5041,Science & Technology,India,IN,5600.0,89000.0,28.1,5.36,1366417754,471031528,2015
DrossRotzank,23000000,6041264489,1598,Entertainment,Argentina,AR,8900.0,142200.0,90.0,9.79,44938712,41339571,2006
White Hill Music,23000000,10939966484,5718,Entertainment,India,IN,23300.0,372700.0,28.1,5.36,1366417754,471031528,2014
toyorbabytv,22900000,16298342829,1159,Music,Jordan,JO,42300.0,676200.0,34.4,14.72,10101694,9213048,2012
BabyBus - Canciones Infantiles & Videos para Ni,22900000,13206471140,1251,Education,Mexico,MX,34200.0,547300.0,40.2,3.42,126014024,102626859,2018
Alan Becker,22900000,5380073627,0,Film & Animation,United States,US,0.0,0.0,88.2,14.7,328239523,270663028,2006
Ultra Movie Parlour,22900000,5320485069,1670,Movies,India,IN,0.0,0.0,28.1,5.36,1366417754,471031528,2011
KL BRO Biju Rithvik,22800000,17988347989,1841,Entertainment,Other,Other,508100.0,8100000.0,63.2,9.3,436369043,226156206,2020
Vania Mania Kids,22700000,10115316784,985,People & Blogs,United States,US,38800.0,620900.0,88.2,14.7,328239523,270663028,2015
Like Nastya PRT,22700000,11568118121,654,Entertainment,Other,Other,24200.0,386500.0,63.2,9.3,436369043,226156206,2019
Sun TV,22600000,20847038152,60964,People & Blogs,India,IN,245600.0,3900000.0,28.1,5.36,1366417754,471031528,2016
Heroindori,22600000,9223534599,495,Comedy,India,IN,99800.0,1600000.0,28.1,5.36,1366417754,471031528,2020
The Chainsmokers,22600000,14231943358,180,Music,United States,US,20400.0,326600.0,88.2,14.7,328239523,270663028,2012
mmoshaya,22600000,17507060680,1189,People & Blogs,Saudi Arabia,SA,18500.0,295300.0,68.0,5.93,34268528,28807838,2010
Sia,22600000,13405849040,171,Music,United States,US,23800.0,381000.0,88.2,14.7,328239523,270663028,2007
LeoNata Family,22600000,27084848152,2321,People & Blogs,United States,US,293500.0,4700000.0,88.2,14.7,328239523,270663028,2021
Goldmines Cineplex,22500000,2431154438,3377,Film & Animation,India,IN,12200.0,195000.0,28.1,5.36,1366417754,471031528,2015
Vlad and Niki Arabic,22500000,10613701948,526,Other,United States,US,16300.0,260300.0,88.2,14.7,328239523,270663028,2018
SSundee,22500000,13835173331,3315,Gaming,United States,US,43800.0,700400.0,88.2,14.7,328239523,270663028,2009
Paulo Londra,22400000,8040036209,58,Music,Argentina,AR,18100.0,289000.0,90.0,9.79,44938712,41339571,2016
FGTeeV,22300000,24059336857,1724,Gaming,United States,US,33000.0,528400.0,88.2,14.7,328239523,270663028,2013
Smile Family,22300000,8663830163,34,People & Blogs,France,FR,0.18,3.0,65.6,8.43,67059887,54123364,2019
Kinder Spielzeug Kanal Kidibli,22200000,11136266461,999,Entertainment,United States,US,34800.0,557300.0,88.2,14.7,328239523,270663028,2015
Vlad and Niki ESP,22000000,8594440895,515,Other,United States,US,46000.0,735500.0,88.2,14.7,328239523,270663028,2018
Sagawa,22000000,18347969186,6274,Entertainment,Japan,JP,177800.0,2800000.0,63.2,2.29,126226568,115782416,2021
Charlie Puth,22000000,9924807127,157,Music,United States,US,27900.0,446000.0,88.2,14.7,328239523,270663028,2009
Ben Azelart,21900000,4454917643,301,Film & Animation,United States,US,46200.0,739800.0,88.2,14.7,328239523,270663028,2014
Zach Choi ASMR,21900000,5918314128,946,People & Blogs,United States,US,58600.0,936900.0,88.2,14.7,328239523,270663028,2014
Topper Guild,21900000,15552070846,816,Comedy,United States,US,171800.0,2700000.0,88.2,14.7,328239523,270663028,2014
Disney Latinoam,21900000,20657571751,116,Entertainment,Mexico,MX,1.0,19.0,40.2,3.42,126014024,102626859,2008
OneDirectionVEVO,21800000,12140232004,266,Music,United Kingdom,GB,12800.0,204500.0,60.0,3.85,66834405,55908316,2010
Rotana,21800000,19329351143,135,Music,Other,Other,3.0,42.0,63.2,9.3,436369043,226156206,2011
Netflix India,21800000,7780934187,1,People & Blogs,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2017
Dua Lipa,21800000,11288359365,164,Music,United Kingdom,GB,32000.0,512200.0,60.0,3.85,66834405,55908316,2011
National Geographic,21800000,5614621131,10162,Science & Technology,United States,US,11500.0,183200.0,88.2,14.7,328239523,270663028,2006
Stokes Twins,21800000,4469711607,257,People & Blogs,United States,US,49500.0,791800.0,88.2,14.7,328239523,270663028,2008
Sourav Joshi Vlogs,21700000,9392093496,1390,People & Blogs,Other,Other,66300.0,1100000.0,63.2,9.3,436369043,226156206,2019
ZAMZAM ELECTRONICS TRADING,21700000,8507818877,15126,Other,United Arab Emirates,AE,399600.0,6400000.0,36.8,2.35,9770529,8479744,2020
DUDU e CAROL,21600000,9597894786,2942,Autos & Vehicles,Brazil,BR,48300.0,772700.0,51.3,12.08,212559417,183241641,2013
Village Cooking Channel,21600000,5863377051,219,Howto & Style,India,IN,48700.0,778400.0,28.1,5.36,1366417754,471031528,2018
Eva Bravo Play,21600000,9346383505,228,Entertainment,United States,US,16000.0,255700.0,88.2,14.7,328239523,270663028,2019
Tekashi 6ix9ine,21500000,5890180734,51,People & Blogs,United States,US,28400.0,454200.0,88.2,14.7,328239523,270663028,2018
Tlnovelas,21500000,15013096899,158,News & Politics,Mexico,MX,4.0,62.0,40.2,3.42,126014024,102626859,2014
SMOL,21500000,22065582014,6,People & Blogs,Other,Other,0.0,0.01,63.2,9.3,436369043,226156206,2006
invictor,21500000,8409641722,17,Gaming,Chile,CL,0.01,0.2,88.5,7.09,18952038,16610135,2016
YOLO,21400000,1573058816,0,Comedy,Germany,DE,0.0,0.0,70.2,3.04,83132799,64324835,2013
Sidhu Moose Wala,21400000,6264261757,114,Music,India,IN,40200.0,642800.0,28.1,5.36,1366417754,471031528,2017
Infinite,21300000,5141834668,1608,Entertainment,United States,US,17100.0,273400.0,88.2,14.7,328239523,270663028,2014
Azhan5star,21300000,10047736580,669,Entertainment,India,IN,59100.0,945200.0,28.1,5.36,1366417754,471031528,2021
Dangal TV Channel,21300000,12895427184,20225,Entertainment,India,IN,140300.0,2200000.0,28.1,5.36,1366417754,471031528,2017
Ishaan Ali 11,21300000,12761253839,951,People & Blogs,India,IN,182400.0,2900000.0,28.1,5.36,1366417754,471031528,2016
The Royalty Family,21300000,6269945014,733,People & Blogs,United States,US,40100.0,640900.0,88.2,14.7,328239523,270663028,2017
Becky G,21300000,10644857969,78,Music,United States,US,25800.0,412700.0,88.2,14.7,328239523,270663028,2011
Khan GS Research Centre,21200000,2073073070,1,Education,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2017
GMA Public  Affairs,21200000,11364908616,31989,Entertainment,Philippines,PH,35600.0,569300.0,35.5,2.15,108116615,50975903,2009
Tasty,21100000,5783557209,4728,Howto & Style,United States,US,6200.0,98800.0,88.2,14.7,328239523,270663028,2016
Baim Paula,21100000,4526271677,2325,People & Blogs,Indonesia,ID,6700.0,107900.0,36.3,4.69,270203917,151509724,2016
nigahiga,21000000,4380564906,403,Entertainment,United States,US,619.0,9900.0,88.2,14.7,328239523,270663028,2006
Lyrical Lemonade,21000000,10631638628,420,Entertainment,United States,US,20000.0,320200.0,88.2,14.7,328239523,270663028,2013
Vlad and Niki IDN,21000000,9789121606,498,Other,United States,US,33300.0,533400.0,88.2,14.7,328239523,270663028,2018
Rafa & Luiz,21000000,7762905663,2883,Entertainment,Brazil,BR,29600.0,473600.0,51.3,12.08,212559417,183241641,2015
Dr. Vivek Bindra Motivational Speaker,20900000,1693149479,896,Education,India,IN,7100.0,114400.0,28.1,5.36,1366417754,471031528,2013
Fatos Desconhecidos,20900000,3828000587,6262,Entertainment,Brazil,BR,13100.0,209300.0,51.3,12.08,212559417,183241641,2013
Brave Wilderness,20900000,4927879069,982,Pets & Animals,United States,US,0.0,0.0,88.2,14.7,328239523,270663028,2014
LIV Crime,20900000,11058049885,9850,People & Blogs,United States,US,95900.0,1500000.0,88.2,14.7,328239523,270663028,2020
Romeo Santos,20900000,17324976752,6,Music,United States,US,0.02,0.4,88.2,14.7,328239523,270663028,2006
Kurzgesagt,20800000,2378448129,193,Education,Germany,DE,7300.0,117100.0,70.2,3.04,83132799,64324835,2013
Canal Canalha,20800000,1870608170,288,Comedy,Brazil,BR,6000.0,95600.0,51.3,12.08,212559417,183241641,2011
Yoeslan,20700000,17963202261,619,Entertainment,United States,US,218700.0,3500000.0,88.2,14.7,328239523,270663028,2020
5-Minute Crafts DIY,20700000,5091618606,5062,Howto & Style,United States,US,5000.0,80000.0,88.2,14.7,328239523,270663028,2018
Zach King,20700000,5410164682,6,Entertainment,Other,Other,0.03,0.5,63.2,9.3,436369043,226156206,2013
tuzelity SHUFFLE,20700000,8658941531,889,People & Blogs,Russia,RU,138100.0,2200000.0,81.9,4.59,144373535,107683889,2015
NBA,20700000,12624879732,47926,Sports,United States,US,18300.0,292100.0,88.2,14.7,328239523,270663028,2005
Deddy Corbuzier,20600000,4956090094,15,Entertainment,Indonesia,ID,0.02,0.34,36.3,4.69,270203917,151509724,2007
Bizarrap,20600000,7657171980,83,Comedy,Argentina,AR,48300.0,772700.0,90.0,9.79,44938712,41339571,2017
Avicii,20600000,10292874715,156,Music,Sweden,SE,20300.0,324900.0,67.0,6.48,10285453,9021165,2009
Mnet K-POP,20500000,15038593883,33229,Entertainment,South Korea,KR,39600.0,634200.0,94.3,4.15,51709098,42106719,2006
LazarBeam,20500000,8768697257,1323,Gaming,Australia,AU,6500.0,104300.0,113.1,5.27,25766605,21844756,2015
Ninja Kidz TV,20500000,11009148579,296,Entertainment,United States,US,48800.0,780800.0,88.2,14.7,328239523,270663028,2017
Emiway Bantai,20400000,3579555124,239,Music,India,IN,10300.0,165200.0,28.1,5.36,1366417754,471031528,2013
Vijay Television,20400000,29406206620,51515,Entertainment,India,IN,226900.0,3600000.0,28.1,5.36,1366417754,471031528,2007
SlivkiShow,20400000,4707412332,462,Entertainment,Ukraine,UA,7200.0,116000.0,82.7,8.88,44385155,30835699,2012
Jake Paul,20400000,7311322368,1006,People & Blogs,United States,US,3700.0,58600.0,88.2,14.7,328239523,270663028,2013
Linkin Park,20400000,13397000296,0,Music,Afghanistan,AF,0.0,0.0,9.7,11.12,38041754,9797273,2006
Totoy kids - Portugu,20400000,1796227417,206,Film & Animation,Brazil,BR,9900.0,158000.0,51.3,12.08,212559417,183241641,2014
Got Talent Global,20300000,2441288701,1245,Entertainment,United Kingdom,GB,21600.0,345800.0,60.0,3.85,66834405,55908316,2013
BabyBus - Cerita & Lagu Anak-anak,20300000,11819051552,875,Education,Indonesia,ID,28200.0,451100.0,36.3,4.69,270203917,151509724,2019
Genevieve's Playhouse,20300000,11022391339,107,Education,Other,Other,17900.0,287100.0,63.2,9.3,436369043,226156206,2018
Ami Rodriguez,20200000,2951914200,460,Entertainment,Colombia,CO,66000.0,1100000.0,55.3,9.71,50339443,40827302,2009
Family GamesTV,20200000,7066711323,0,Entertainment,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2012
Kiddiestv Hindi - Nursery Rhymes & Kids Songs,20200000,7274150246,226,Education,India,IN,28400.0,453700.0,28.1,5.36,1366417754,471031528,2017
dednahype,20200000,20919403720,1935,Comedy,Latvia,LV,311200.0,5000000.0,88.1,6.52,1912789,1304943,2020
Marta and Rustam,20200000,19694265358,761,Comedy,United States,US,113100.0,1800000.0,88.2,14.7,328239523,270663028,2021
MiawAug,20200000,6098644584,3713,Gaming,Indonesia,ID,16100.0,258000.0,36.3,4.69,270203917,151509724,2014
Noor Stars,20200000,2764127969,693,Comedy,United Arab Emirates,AE,3900.0,62200.0,36.8,2.35,9770529,8479744,2014
Pencilmation,20100000,11317309935,1481,Film & Animation,United States,US,3700.0,59400.0,88.2,14.7,328239523,270663028,2007
BuzzFeedVideo,20100000,17913237851,7737,People & Blogs,United States,US,2300.0,36400.0,88.2,14.7,328239523,270663028,2011
Marvel Entertainment,20100000,5634695322,1,Entertainment,United States,US,0.02,0.25,88.2,14.7,328239523,270663028,2011
5-Minute Crafts PLAY,20100000,6119294270,5491,Howto & Style,United States,US,26400.0,423100.0,88.2,14.7,328239523,270663028,2017
Robin Hood Gamer,20100000,10366850490,0,Entertainment,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2013
AuthenticGames,20100000,8920141342,4974,Gaming,Brazil,BR,1400.0,21700.0,51.3,12.08,212559417,183241641,2011
Skrillex,20100000,6618524158,241,Music,United States,US,6300.0,101100.0,88.2,14.7,328239523,270663028,2010
CookieSwirlC,20100000,23353115850,3774,Entertainment,United States,US,55400.0,886800.0,88.2,14.7,328239523,270663028,2013
7clouds,20100000,14816075927,2384,Music,United States,US,69200.0,1100000.0,88.2,14.7,328239523,270663028,2013
REACT,20000000,13154314376,4339,Entertainment,United States,US,5800.0,92800.0,88.2,14.7,328239523,270663028,2007
Vevo,20000000,559765455,1527,Music,United States,US,333.0,5300.0,88.2,14.7,328239523,270663028,2006
Gordon Ramsay,20000000,3875172235,1527,Entertainment,United Kingdom,GB,9800.0,156900.0,60.0,3.85,66834405,55908316,2006
Pentatonix,20000000,6033295543,1,Music,Canada,CA,0.0,0.0,68.9,5.56,36991981,30628482,2006
Green Gold TV - Official Channel,20000000,9715291883,1476,Film & Animation,India,IN,0.0,0.0,28.1,5.36,1366417754,471031528,2011
Gusttavo Lima Oficial,19900000,13917423958,416,Music,Brazil,BR,53700.0,859200.0,51.3,12.08,212559417,183241641,2010
HaerteTest,19800000,3234880084,1411,Science & Technology,Germany,DE,1400.0,22600.0,70.2,3.04,83132799,64324835,2011
Crafty Panda,19800000,5759442450,760,People & Blogs,United States,US,1500.0,24500.0,88.2,14.7,328239523,270663028,2017
SOMOY TV,19800000,12293479945,9930,News & Politics,United States,US,4.0,65.0,88.2,14.7,328239523,270663028,2013
Britain's Got Talent,19700000,11323617496,4225,Entertainment,United Kingdom,GB,13500.0,216800.0,60.0,3.85,66834405,55908316,2008
SCTV,19700000,9808676159,267,Entertainment,United Kingdom,GB,0.08,1.0,60.0,3.85,66834405,55908316,2006
Troom Troom Es,19700000,7452667615,2912,People & Blogs,Other,Other,7300.0,117500.0,63.2,9.3,436369043,226156206,2016
Official Pink Panther,19700000,10955619815,1,Film & Animation,United States,US,0.0,0.0,88.2,14.7,328239523,270663028,2011
JennaMarbles,19700000,1803249241,250,Comedy,United States,US,942.0,15100.0,88.2,14.7,328239523,270663028,2010
AS Gaming,19600000,2851024430,17,Gaming,United States,US,0.01,0.09,88.2,14.7,328239523,270663028,2009
Sony AATH,19600000,13930021471,18661,Shows,United States,US,68600.0,1100000.0,88.2,14.7,328239523,270663028,2013
tabii Urdu,19600000,8779729549,1306,Entertainment,Turkey,TR,27700.0,443200.0,23.9,13.49,83429615,63097818,2020
DaFuq!?Boom!,19600000,7906181776,214,Film & Animation,United States,US,576000.0,9200000.0,88.2,14.7,328239523,270663028,2016
Clash of Clans,19600000,3961318438,674,Gaming,United States,US,5600.0,89200.0,88.2,14.7,328239523,270663028,2013
RKD Studios,19500000,5234251168,847,Entertainment,India,IN,0.0,0.0,28.1,5.36,1366417754,471031528,2014
DLS News,19400000,2255542592,4750,News & Politics,India,IN,8000.0,128400.0,28.1,5.36,1366417754,471031528,2017
JukiLop,19400000,1577859332,85,People & Blogs,Mexico,MX,595.0,9500.0,40.2,3.42,126014024,102626859,2017
etvteluguindia,19400000,23038014291,125974,Entertainment,India,IN,68200.0,1100000.0,28.1,5.36,1366417754,471031528,2010
FIFA,19400000,5529131886,10728,Sports,Switzerland,CH,14700.0,235500.0,59.6,4.58,8574832,6332428,2006
Unbox Therapy,19300000,4508184467,2175,Science & Technology,Other,Other,4200.0,66900.0,63.2,9.3,436369043,226156206,2010
Manoj  parihar,19300000,264228052,335,Other,India,IN,9300.0,148700.0,28.1,5.36,1366417754,471031528,2021
Vsauce,19300000,2897907132,462,Science & Technology,Other,Other,17400.0,278500.0,63.2,9.3,436369043,226156206,2007
shane,19200000,4329121104,570,People & Blogs,United States,US,683.0,10900.0,88.2,14.7,328239523,270663028,2005
Sonotek,19200000,7590582024,8285,Entertainment,India,IN,7200.0,114700.0,28.1,5.36,1366417754,471031528,2011
Jimmy Kimmel Live,19100000,13124645973,6526,Entertainment,United States,US,4300.0,69000.0,88.2,14.7,328239523,270663028,2006
TheOdd1sOut,19100000,4566120190,139,Comedy,United States,US,7700.0,123900.0,88.2,14.7,328239523,270663028,2014
Goldmines Great Indian Comedy,19100000,5194942269,2948,Film & Animation,Other,Other,16500.0,263700.0,63.2,9.3,436369043,226156206,2016
Lil Nas X,19100000,6339584661,37,Music,Other,Other,11500.0,184800.0,63.2,9.3,436369043,226156206,2018
SUPER SLICK SLIME SAM,19000000,7229175322,903,Howto & Style,Mexico,MX,30800.0,493400.0,40.2,3.42,126014024,102626859,2018
Wow Kidz Action,19000000,8281724393,1525,Film & Animation,India,IN,26400.0,422800.0,28.1,5.36,1366417754,471031528,2017
Turma da M,19000000,13824277846,1154,Film & Animation,Brazil,BR,19200.0,307600.0,51.3,12.08,212559417,183241641,2012
Calvin Harris,19000000,16014044618,79,Music,United Kingdom,GB,25600.0,409600.0,60.0,3.85,66834405,55908316,2007
KBS WORLD TV,19000000,15126092508,64496,Entertainment,South Korea,KR,27000.0,432000.0,94.3,4.15,51709098,42106719,2007
Little Angel Espa,18900000,9813245108,719,Education,Mexico,MX,35100.0,561600.0,40.2,3.42,126014024,102626859,2018
HiMan,18900000,2855519150,375,People & Blogs,Russia,RU,6100.0,98300.0,81.9,4.59,144373535,107683889,2014
Masha e o Urso,18900000,8301731337,0,Shows,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2014
